source_file,case_name,court,year,courtlistener_cluster_id,courtlistener_url,database_sources,source_text_status,sha256_lf
"11267622 - United States v. FAIR HOUSING PARTNERSHIP OF GREATER PITTSBURGH, INC.","United States of America v. AION Management, LLC",D. Del.,2025,,,3604; claims; csv,,
11267623 - Watts v. THE IRVINE COMPANY LLC,Watts v. The Irvine Company LLC,C.D. Cal.,2025,,,3604; claims; csv,on file with author,29d88067c048c5421dcbae51fc7565b6f357f98dd80d21952105ebbb6d22de3d
11267624 - Cooper v. Chicago Housing Authority,Cooper v. Chicago Housing Authority,N.D. Ill.,2025,,,3604; claims; csv; phase1_patch,,
11267625 - Jones v. FEATHERSTONE CONDOMINIUM HOMEOWNERS ASSOCIATION INC.,Quincy Bernard Jones v. Featherstone Condominium Homeowners Association Inc.,M.D. Ga.,2025,,,3604; claims; csv,on file with author,bd4bfac73f73bdbef425b88f4a10b30b04fa22a6cb77cc293a19348fae2148ec
11267626 - Lepp v. Mallet,Lepp v. Mallet,E.D. Mich.,2025,,,3604; claims; csv,on file with author,da7f41b3a9d76055ff3dfd3a94321e705600b183cb265b24cfd96ac13e417202
"11267627 - COMM'N ON HUMAN RIGHTS v. MANSIONS, LLC",,,,,,3604; claims,,
11267628 - Scoggins v. FALCON COURT,,,,,,3604; claims,,
11267630 - Hunt v. VOLARE HEALTH LLC,Karla Hunt v. Volare Health LLC,D. Or.,2025,,,3604; claims; csv,on file with author,f97add6b9db6c125cf5655c2599836d86313d34a71789253e4a0ac36ce76868a
11267631 - Darling v. FACEBOOK,,,,,,3604; claims,,
11267632 - Watts v. JOGGERS RUN PROPERTY OWNERS ASSOCIATION,"Sara Watts v. Joggers Run Property Owners Association, Inc.",11th Cir.,2025,,,3604; claims; csv,,
"11267633 - BAK REALTY, LLC v. City of Fitchburg","BAK Realty, LLC v. City of Fitchburg",Supreme Judicial Court of Massachusetts,2025,,,3604; claims,,
11267634 - Jackson v. Chicago Housing Authority,"Curtis K. Jackson, Sr. v. Chicago Housing Authority",7th Cir.,2025,,,3604; claims; csv,,
"11267635 - Parker v. PANPHIL REALTY, LLC","Gordon Roy Parker v. Panphil Realty, LLC",E.D. Pa.,2025,,,3604; claims; csv,on file with author,4dbb83edbae1ebeeb059b20519b74dedc6c171f3b83c739f8024b73fa55248e1
"11267636 - APPELGREN v. ISLAND HOSPITALITY MANAGEMENT VII, LLC","Mark Appelgren v. Island Hospitality Management VII, LLC, et al.",D.N.J.,2025,,,3604; claims; csv,on file with author,77e60aa159c4938038079cbd337b1eaed8edca5e5dca377669ca5f8fd9f9690e
11267637 - Doe v. Department of Veterans Affairs,Jane Doe v. Department of Veterans Affairs,D. Md.,2025,,,3604; claims; csv,on file with author,c06ab20ad61366897b82af746165a6fbf775758ce6c714eaf5825d9796bb7b28
11267638 - PARK CROSSING HOA. v. Suarez,"Park Crossing Homeowners Association, Inc. v. Suarez",Fla. 4th DCA,2025,,,3604; claims,,
11267639 - Faruki v. HOUSING AUTHORITY FOR THE COUNTY OF SACRAMENTO,Faruki v. Housing Authority for the County of Sacramento,E.D. Cal.,2025,,,3604; claims; csv,on file with author,efb81b6466d9689435fa084fedb14bf6702033ab2d5f6e5ec9798b40ca7ba352
11267640 - United States v. LETTIRE CONSTRUCTION CORP.,United States of America v. Lettire Construction Corp.,S.D.N.Y.,2025,,,3604; claims; csv; phase2_extraction,,
11267641 - LB EX REL. AB v. PREMERA BLUE CROSS,,,,,,3604; claims,,
"11267642 - Watts v. JOGGERS RUN PROPERTY OWNERS ASSOCIATION, INC.","Sara Watts v. Joggers Run Property Owners Association, Inc.",11th Cir.,2025,,,3604; claims; csv,,
"11267643 - CMDS RESIDENTIAL, LLC v. Mayor & City Council of Baltimore","CMDS Residential, LLC v. Mayor & City Council of Baltimore",D. Md.,2025,,,3604; claims; csv,,
11267644 - Carlson v. CARRINGTON SQUARE LLC,Danny Carlson v. Carrington Square LLC,D. Utah,2025,,,3604; claims; csv,,
11267645 - Ricketts v. WESTWOOD CONDO ASSOC.,Robert Ricketts v. Westwood Condo Assn.,D. Conn.,2025,,,3604; claims; csv,on file with author,502e9647785d83358f9ad831bdba2bcdc9aa767b565fdc888d1b118483da6d75
"11267646 - YIELDMO, INC. v. TEADS, INC.",,,,,,3604; claims,,
11267647 - Johnson v. Simonson,Larry Johnson v. Lisa Simonson and Kelly Paine,D. Or.,2025,,,3604; claims; csv,,
"11267648 - Resources for Human Development, Inc. v. LOWER PROVIDENCE TOWNSHIP","Resources for Human Development, Inc. v. Lower Providence Township",E.D. Pa.,2025,,,3604; claims; csv,on file with author,2de99446d3db66dd21c5d8ca88ce3919507ff27bc49fb09eb69d541ae10b628e
"11267649 - Bowman v. SWBC REAL ESTATE SERVICES, LLC","Dana Bowman v. SWBC Real Estate Services, LLC et al.",N.D. Tex.,2025,,,3604; claims; csv,on file with author,18626b19cc62b78b50e69844e264de1a4fb27d9564c0ddc61a67e5abf0030e7a
11267650 - Deitch v. MEDSTAR MEDICAL GROUP,"Ronald S. Deitch v. Medstar Medical Group, Southern Maryland LLC, et al.",D. Md.,2025,,,3604; claims; csv,on file with author,0c01dce2f5dfdf64535d23851c0503c380d119d3e9a4699750fcab84b0fc4889
"11267651 - COMMISSION ON HUMAN RIGHTS & OPPORTUNITIES EX REL. PIZZOFERRATO v. THE MANSIONS,","Commission on Human Rights and Opportunities ex rel. Wendy Pizzoferrato et al. v. The Mansions, LLC et al.",Conn. App. Ct.,2025,,,3604; claims,,
11267652 - Dixon v. SILVA-MARKHAM PARTNERS,Jennifer Dixon v. Silva-Markham Partners and Koelbel & Co.,D. Colo.,2025,,,3604; claims; csv,,
11267653 - IN THE MATTER OF GENDELL,,,,,,3604; claims,,
2769474_2015_Batista v. Cooperativa De Vivienda Jardines De San Ignacio_ca1,"Priscilla Batista v. Cooperativa de Vivienda Jardines de San Ignacio, et al.",1st Cir.,2015,2769474,https://www.courtlistener.com/api/rest/v4/clusters/2769474/,3604; claims; csv,,
2770244_2015_Eddy Jean Philippeaux v. Apartment Investment and Management Company_ca11,Eddy Jean Philippeaux v. Apartment Investment and Management Company,11th Cir.,2015,2770244,https://www.courtlistener.com/api/rest/v4/clusters/2770244/,3604; claims; csv,,
2781658_2015_Glenn Hopkins v. Springfield Housing Authority_ca7,Glenn J. Hopkins v. Springfield Housing Authority,7th Cir.,2015,2781658,https://www.courtlistener.com/api/rest/v4/clusters/2781658/,3604; claims; csv,on file with author,49db3de7ba74c8b837f7979b5f3ddce2c6088aa85d6944ee7f9e17c3a83a8653
"2803230_2015_Forziano v. Indep. Grp. Home Living Program, Inc._ca2","Forziano v. Indep. Grp. Home Living Program, Inc.",2d Cir.,2015,2803230,https://www.courtlistener.com/api/rest/v4/clusters/2803230/,3604; claims; csv,,
"2804903_2015_Rodriguez v. Village Green Realty, Inc._ca2","Rodriguez v. Village Green Realty, Inc.",2d Cir.,2015,2804903,https://www.courtlistener.com/api/rest/v4/clusters/2804903/,3604; claims; csv,,
2809229_2015_Dick Lalowski v. City of Des Plaines_ca7,,,,2809229,https://www.courtlistener.com/api/rest/v4/clusters/2809229/,3604; claims,,
"2811844_2015_Texas Dept. of Housing and Community Affairs v. Inclusive Communities Project, Inc._scotus","Texas Department of Housing and Community Affairs v. Inclusive Communities Project, Inc.",SUPREME COURT OF THE UNITED STATES,2015,2811844,https://www.courtlistener.com/api/rest/v4/clusters/2811844/,3604; claims,,
2820826_2015_Jackson v. Park Place Condominiums Ass'n_ca10,"Marcia L. Jackson v. Park Place Condominiums Association, Inc.",10th Cir.,2015,2820826,https://www.courtlistener.com/api/rest/v4/clusters/2820826/,3604; claims; csv,,
2826184_2015_PETA v. AGRI_cadc,,,,2826184,https://www.courtlistener.com/api/rest/v4/clusters/2826184/,3604; claims; iqbal,,
2827459_2015_Anderson Ex Rel. C.A. v. City of Blue Ash_ca6,"Ingrid Anderson, individually and parent on behalf of C.A.; Housing Opportunities Made Equal, Inc. v. City of Blue Ash",6th Cir.,2015,2827459,https://www.courtlistener.com/api/rest/v4/clusters/2827459/,3604; claims; csv,,
2829978_2015_Nina Shahin v. Andrew Rogan_ca3,Nina Shahin v. Andrew Rogan,3d Cir.,2015,2829978,https://www.courtlistener.com/api/rest/v4/clusters/2829978/,3604; claims; csv,,
2832679_2015_City of Miami v. Bank of America Corp._ca11,City of Miami v. Wells Fargo & Co.,11th Cir.,2015,2832679,https://www.courtlistener.com/api/rest/v4/clusters/2832679/,3604; claims; csv,,
2832680_2015_City of Miami v. Wells Fargo _ Co._ca11,City of Miami v. Citigroup Inc.,11th Cir.,2015,2832680,https://www.courtlistener.com/api/rest/v4/clusters/2832680/,3604; claims; csv,,
2832681_2015_City of Miami v. Bank of America Corporation_ca11,City of Miami v. Bank of America Corporation,11th Cir.,2015,2832681,https://www.courtlistener.com/api/rest/v4/clusters/2832681/,3604; claims; csv,,
2898031_2015_Brenda Miles v. David Wesley_ca9,Brenda Miles v. David Wesley,9th Cir.,2015,2898031,https://www.courtlistener.com/api/rest/v4/clusters/2898031/,3604; claims; csv,,
"2959750_2015_Texas Dept. of Housing and Community Affairs v. Inclusive Communities Project, Inc._scotus","Texas Department of Housing and Community Affairs v. Inclusive Communities Project, Inc.",SUPREME COURT OF THE UNITED STATES,2015,2959750,https://www.courtlistener.com/api/rest/v4/clusters/2959750/,3604; claims,,
"2961319_2015_Freedman v. Suntrust Banks, Inc._dcd","Shana Freedman v. SunTrust Banks, Inc. and SunTrust Mortgage, Inc.",D.D.C.,2015,2961319,https://www.courtlistener.com/api/rest/v4/clusters/2961319/,3604; claims; csv; iqbal,on file with author,b8ca791bab777fcb2ef36992bf78963e2b97b89b4d4563ca1346abb95fd06ea5
3004697_2015_County of Westchester v. United States Department of Housing _ Urban Development_ca2,County of Westchester v. U.S. Department of Housing and Urban Development,2d Cir.,2015,3004697,https://www.courtlistener.com/api/rest/v4/clusters/3004697/,3604; claims; csv; phase1_patch,,
3006526_2015_Anthony Hood v. Tessa Pope_ca5,"Anthony Hood; Princess Williams v. Tessa Pope, et al.",5th Cir.,2015,3006526,https://www.courtlistener.com/api/rest/v4/clusters/3006526/,3604; claims; csv,,
"3007122_2015_Mark Hibbert, Sr. v. Bellmawr Park Mutual Housing_ca3","Mark E. Hibbert, Sr. v. Bellmawr Park Mutual Housing Corporation",3d Cir.,2015,3007122,https://www.courtlistener.com/api/rest/v4/clusters/3007122/,3604; claims; csv; phase1_patch,,
3045653_2015_Donavette Ely v. Mobile Housing Board_ca11,Donavette Ely v. Mobile Housing Board,11th Cir.,2015,3045653,https://www.courtlistener.com/api/rest/v4/clusters/3045653/,3604; claims; csv,,
"3066240_2015_Ethicon Endo-Surgery, Inc. v. Covidien, Inc._cafc",,,,3066240,https://www.courtlistener.com/api/rest/v4/clusters/3066240/,3604; claims,,
"3132420_2015_Anderson Group, LLC v. City of Saratoga Springs_ca2","The Anderson Group, LLC v. City of Saratoga Springs",2d Cir.,2015,3132420,https://www.courtlistener.com/api/rest/v4/clusters/3132420/,3604; claims; csv,,
"3161187_2015_Parham v. Cih Properties, Inc._dcd","Parham v. CIH Properties, Inc.",D.D.C.,2015,3161187,https://www.courtlistener.com/api/rest/v4/clusters/3161187/,3604; claims; csv,,
3164689_2015_In RE_TAM en Banc_cafc,,,,3164689,https://www.courtlistener.com/api/rest/v4/clusters/3164689/,3604; claims,,
"3171091_2016_Richard Wolf v. Bank of America, N.A., et a_ca5",Richard B. Wolf; Marcia A. Wolf v. Bank of America National Association; Marvin Blankenship; Kianie King; Jimmy Widdle; Phil Gonzalez,5th Cir.,2016,3171091,https://www.courtlistener.com/api/rest/v4/clusters/3171091/,3604; claims; csv; phase1_patch,on file with author,5858030e9b718eb9d24a0a783ab9ae59f9df7c88217c322260b2b68bedb0f6c3
"3178598_2016_Dyan Hunt v. Aimco Properties, L.P._ca11","Dyan Hunt v. Aimco Properties, L.P.",11th Cir.,2016,3178598,https://www.courtlistener.com/api/rest/v4/clusters/3178598/,3604; claims; csv,,
"3187921_2016_MHANY Mgmt., Inc. v. Cty of Nassau_ca2","MHANY Management, Inc. v. County of Nassau et al.",2d Cir.,2016,3187921,https://www.courtlistener.com/api/rest/v4/clusters/3187921/,3604; claims; csv,,
"3188956_2016_Avenue 6E Investments, LLC v. City of Yuma_ca9","Avenue 6E Investments, LLC v. City of Yuma",9th Cir.,2016,3188956,https://www.courtlistener.com/api/rest/v4/clusters/3188956/,3604; claims; csv,,
3199679_2016_Castillo Condominium Ass'n v. United States Department of Housing _ Urban Development_ca1,Castillo Condominium Association v. United States Department of Housing and Urban Development,1st Cir.,2016,3199679,https://www.courtlistener.com/api/rest/v4/clusters/3199679/,3604; claims; csv,,
3200963_2016_Dorothy Hartman v. Bank of New York Mellon_ca3,Dorothy Hartman v. Bank of New York Mellon,3d Cir.,2016,3200963,https://www.courtlistener.com/api/rest/v4/clusters/3200963/,3604; claims; csv,on file with author,5c60fde67d8d5216beb268db7480c3f976318ec48cfef06c14f73c7e003ac83f
"3204035_2016_Fair Housing Rights Center v. Post Goldtex GP, LLC_ca3","Fair Housing Rights Center in Southeastern Pennsylvania v. Post Goldtex GP, LLC",3d Cir.,2016,3204035,https://www.courtlistener.com/api/rest/v4/clusters/3204035/,3604; claims; csv,,
3212779_2016_Tri-Corp Housing Incorporated v. Robert Bauman_ca7,Tri-Corp Housing Incorporated v. Robert Bauman,7th Cir.,2016,3212779,https://www.courtlistener.com/api/rest/v4/clusters/3212779/,3604; claims; csv,,
3215233_2016_Austin v. Town of Farmington_ca2,Austin v. Town of Farmington,2d Cir.,2016,3215233,https://www.courtlistener.com/api/rest/v4/clusters/3215233/,3604; claims; csv,,
3219398_2016_Shaddonna Miles v. Housing Authority of Texarkana_ca5,"Shaddonna Diane Miles v. Housing Authority of Texarkana, Texas",5th Cir.,2016,3219398,https://www.courtlistener.com/api/rest/v4/clusters/3219398/,3604; claims; csv,,
"4016914_2016_Thomas Wilson v. Warren County, Illinois_ca7","Thomas Wilson and Randy Brown v. Warren County, Illinois, Martin Edwards, Thomas Carithers, Albert Algren, Ronald Hanson, Mark Johnson, and Douglas Reiners",7th Cir.,2016,4016914,https://www.courtlistener.com/api/rest/v4/clusters/4016914/,3604; claims; csv,on file with author,9f191fb4d557f8a86eeb2b1ba03d04905adea80dff1fa32ab5afed45a6923110
4034411_2016_B.C. v. Mount Vernon School District_ca2,,,,4034411,https://www.courtlistener.com/api/rest/v4/clusters/4034411/,3604; claims,,
4076592_2016_Safari Club International v. Jewell_dcd,,,,4076592,https://www.courtlistener.com/api/rest/v4/clusters/4076592/,3604; claims,,
"4094260_2016_Selden v. Airbnb, Inc._dcd","Gregory Selden v. Airbnb, Inc.",D.D.C.,2016,4094260,https://www.courtlistener.com/api/rest/v4/clusters/4094260/,3604; claims; csv; iqbal,,
4096467_2016_Thomas v. Salvation Army Southern Territory_ca4,Sharon T. Thomas v. The Salvation Army Southern Territory,4th Cir.,2016,4096467,https://www.courtlistener.com/api/rest/v4/clusters/4096467/,3604; claims; csv,on file with author,b8f4cb5bc06be773b4eea9a804ca3932ea7bd868732361720cc4898054b19cc2
"4100879_2016_Borum v. Brentwood Village, LLC_dcd","Adriann Borum, et al. v. Brentwood Village, LLC, et al.",D.D.C.,2016,4100879,https://www.courtlistener.com/api/rest/v4/clusters/4100879/,3604; claims; csv; iqbal,,
4107938_2016_Hardaway v. District of Columbia Housing Authority_cadc,Angelene Hardaway and Lena Hardaway v. District of Columbia Housing Authority,D.C. Cir.,2016,4107938,https://www.courtlistener.com/api/rest/v4/clusters/4107938/,3604; claims; csv,,
4110396_2016_Abdus-Sabur v. Corrections Corporation of America_dcd,"Jason Abdus-Sabur v. Hope Village, Inc., et al.",D.D.C.,2016,4110396,https://www.courtlistener.com/api/rest/v4/clusters/4110396/,3604; claims; csv; iqbal,on file with author,9250a289a0ca1a2b7f61e6d40f72f072e341d735b1b0821e8869ef52d6b3fa5c
"4154998_2017_Linkletter v. Western _ Southern Financial Group, Inc._ca6","Gayle Linkletter v. Western & Southern Financial Group, Inc.",6th Cir.,2017,4154998,https://www.courtlistener.com/api/rest/v4/clusters/4154998/,3604; claims; csv,,
"4155882_2017_United States v. Mid-America Apartment Communities, Inc._dcd","United States v. Mid-America Apartment Communities, Inc.",D.D.C.,2017,4155882,https://www.courtlistener.com/api/rest/v4/clusters/4155882/,3604; claims; csv,,
4157097_2017_Liana Revock v. Cowpet Bay West Condominium As_ca3,Liana Revock v. Cowpet Bay West Condominium Association,3d Cir.,2017,4157097,https://www.courtlistener.com/api/rest/v4/clusters/4157097/,3604; claims; csv,,
4164893_2017_Bank of Am. Corp. v. City of Miami_scotus,Bank of America Corp. v. City of Miami,Supreme Court of the United States,2017,4164893,https://www.courtlistener.com/api/rest/v4/clusters/4164893/,3604; claims,,
"4165008_2017_Roger Nicklaw v. CitiMortgage, Inc._ca11",,,,4165008,https://www.courtlistener.com/api/rest/v4/clusters/4165008/,3604; claims,,
4181212_2017_Andrew Ellis v. The City of Minneapolis_ca8,"Andrew Ellis; Harriet A. Ellis v. The City of Minneapolis, a municipal corporation; Betsy Hodges; Nuria Rivera-Vandermyde; JoAnn Velde",8th Cir.,2017,4181212,https://www.courtlistener.com/api/rest/v4/clusters/4181212/,3604; claims; csv,,
4181299_2017_Hardie v. National Collegiate Athletic Ass'n_ca9,,,,4181299,https://www.courtlistener.com/api/rest/v4/clusters/4181299/,3604; claims,,
4191888_2017_Goncalves Ex Rel. Goncalves v. Rady Children's Hospital San Diego_ca9,,,,4191888,https://www.courtlistener.com/api/rest/v4/clusters/4191888/,3604; claims,,
4194542_2017_Civil Rights Education _ Enforcement Center v. Hospitality Properties Trust_ca9,Civil Rights Education and Enforcement Center v. Hospitality Properties Trust,9th Cir.,2017,4194542,https://www.courtlistener.com/api/rest/v4/clusters/4194542/,3604; claims; csv; phase1_patch,,
4197488_2017_National Fair Housing Alliance v. Travelers Indemnity Company_dcd,National Fair Housing Alliance v. Travelers Indemnity Company,D.D.C.,2017,4197488,https://www.courtlistener.com/api/rest/v4/clusters/4197488/,3604; claims; csv; iqbal,,
4202483_2017_Dominic Hardie v. Ncaa_ca9,,,,4202483,https://www.courtlistener.com/api/rest/v4/clusters/4202483/,3604; claims,,
"4244464_2018_Borum v. Brentwood Village, LLC_dcd","Borum v. Brentwood Village, LLC",D.D.C.,2018,4244464,https://www.courtlistener.com/api/rest/v4/clusters/4244464/,3604; claims; csv,,
4250967_2018_Mary Valencia v. City of Springfield_ca7,"Mary B. Valencia, et al. v. City of Springfield, Illinois",7th Cir.,2018,4250967,https://www.courtlistener.com/api/rest/v4/clusters/4250967/,3604; claims; csv,,
4258657_2018_Karim-Panahi v. 4000 Massachusetts Apartments_dcd,Parviz Karim-Panahi v. 4000 Massachusetts Apartments et al.,D.D.C.,2018,4258657,https://www.courtlistener.com/api/rest/v4/clusters/4258657/,3604; claims; csv; iqbal,on file with author,f67ffafc9b968832b52911b669b8e0b6f98302670861c0230e649e9be45a0634
"4271090_2018_Barry Farm Tenants and Allies Association, Inc. v. District of Columbia Housing Authority_dcd","Barry Farm Tenants and Allies Association, Inc. v. District of Columbia Housing Authority",D.D.C.,2018,4271090,https://www.courtlistener.com/api/rest/v4/clusters/4271090/,3604; claims; csv; iqbal,,
4274256_2018_Collington v. District of Columbia Housing Authority_dcd,William Hugh Collington v. District of Columbia Housing Authority et al.,D.D.C.,2018,4274256,https://www.courtlistener.com/api/rest/v4/clusters/4274256/,3604; claims; csv; iqbal; phase1_patch,on file with author,248f0299e908f2b0f7b12c8b1d410a126bc69b88c9fe41f8c6d5168ab409a2ef
4278555_2018_Holly Geraci v. Union Square Condominium Assoc_ca7,Holly B. Geraci v. Union Square Condominium Association,7th Cir.,2018,4278555,https://www.courtlistener.com/api/rest/v4/clusters/4278555/,3604; claims; csv,,
4303545_2018_Traci Berardelli v. Allied Services Institute of R_ca3,,,,4303545,https://www.courtlistener.com/api/rest/v4/clusters/4303545/,3604; claims,,
4305084_2018_National Fair Housing Alliance v. Carson_dcd,National Fair Housing Alliance v. Carson,D.D.C.,2018,4305084,https://www.courtlistener.com/api/rest/v4/clusters/4305084/,3604; claims; csv; iqbal,on file with author,f688af1ad66825e8ab0aec57745bcd22a0508131c497cb5242cbd53c88574901
4307711_2018_Marsha Wetzel v. Glen St. Andrew Living Communi_ca7,"Marsha Wetzel v. Glen St. Andrew Living Community, LLC",7th Cir.,2018,4307711,https://www.courtlistener.com/api/rest/v4/clusters/4307711/,3604; claims; csv,,
4308017_2018_Darryl Mason v. Adams Cty. Recorder_ca6,"Darryl O. Mason v. Adams County Recorder, et al.",6th Cir.,2018,4308017,https://www.courtlistener.com/api/rest/v4/clusters/4308017/,3604; claims; csv,,
4308092_2018_Providence Behavioral Health v. Grant Rd. Pub. Util. Dist._ca5,Providence Behavioral Health v. Grant Road Public Utility District,5th Cir.,2018,4308092,https://www.courtlistener.com/api/rest/v4/clusters/4308092/,3604; claims; csv,,
4308286_2018_Darryl Mason v. Adams Cty. Recorder_ca6,"Darryl O. Mason v. Adams County Recorder, et al.",6th Cir.,2018,4308286,https://www.courtlistener.com/api/rest/v4/clusters/4308286/,3604; claims; csv,,
4309890_2018_Carol Vorchheimer v. Philadelphian Owners Associati_ca3,Carol Vorchheimer v. The Philadelphian Owners Association; June Idzal; Frank J. Bonom,3d Cir.,2018,4309890,https://www.courtlistener.com/api/rest/v4/clusters/4309890/,3604; claims; csv,on file with author,a830c34847994511a4b4ba718215a00f8ae1a275e87f329bc5263a0fa46aed48
4309951_2018_Carol Vorchheimer v. Philadelphian Owners Associati_ca3,Carol Vorchheimer v. The Philadelphian Owners Association; June Idzal; Frank J. Bonom,3d Cir.,2018,4309951,https://www.courtlistener.com/api/rest/v4/clusters/4309951/,3604; claims; csv,,
"4313320_2018_Tree of Life Christian Sch. v. City of Upper Arlington, Ohio_ca6",,,,4313320,https://www.courtlistener.com/api/rest/v4/clusters/4313320/,3604; claims,,
"4319607_2016_Lindsey Jones v. CitiMortgage, Inc._ca11","Lindsey Jones v. CitiMortgage, Inc.",11th Cir.,2016,4319607,https://www.courtlistener.com/api/rest/v4/clusters/4319607/,3604; claims; csv,,
4330677_2016_Hardaway v. District of Columbia Housing Authority_cadc,Hardaway v. District of Columbia Housing Authority,D.C. Cir.,2016,4330677,https://www.courtlistener.com/api/rest/v4/clusters/4330677/,3604; claims; csv,,
4331178_2016_Robyn Edwards v. Gene Salter Properties_ca8,Robyn G. Edwards; Mikki Adams v. Gene Salter Properties and Salter Construction Inc.; Brittany Pringle,8th Cir.,2016,4331178,https://www.courtlistener.com/api/rest/v4/clusters/4331178/,3604; claims; csv,,
4331675_2016_Robyn Edwards v. Gene Salter Properties_ca8,Robyn G. Edwards; Mikki Adams v. Gene Salter Properties and Salter Construction Inc.; Brittany Pringle,8th Cir.,2016,4331675,https://www.courtlistener.com/api/rest/v4/clusters/4331675/,3604; claims; csv,,
"4343397_2018_Angela Riley v. City of Kokomo, Indiana, Housi_ca7","Angela Riley v. City of Kokomo, Indiana Housing Authority",7th Cir.,2018,4343397,https://www.courtlistener.com/api/rest/v4/clusters/4343397/,3604; claims; csv,,
4368563_2019_United States v. Matthew Bryan Caniff_ca11,,,,4368563,https://www.courtlistener.com/api/rest/v4/clusters/4368563/,3604; claims,,
"4373124_2019_Francis v. Kings Park Manor, Inc._ca2","Francis v. Kings Park Manor, Inc.",2d Cir.,2019,4373124,https://www.courtlistener.com/api/rest/v4/clusters/4373124/,3604; claims; csv,,
"4375755_2017_M.R.G. v. Marsh Harbour Maintenance Association, Inc._ca11","Fair Housing Center of the Greater Palm Beaches, Inc. v. Sonoma Bay Community Homeowners Association, Inc.",11th Cir.,2017,4375755,https://www.courtlistener.com/api/rest/v4/clusters/4375755/,3604; claims; csv,,
4382731_2019_Barot v. Aldon Management_dcd,Constante P. Barot et al. v. Aldon Management,D.D.C.,2019,4382731,https://www.courtlistener.com/api/rest/v4/clusters/4382731/,3604; claims; csv; iqbal,,
"4385539_2019_Inclusive Cmtys. Project, Inc. v. Lincoln Prop. Co._ca5","Inclusive Communities Project, Inc. v. Lincoln Property Co.",5th Cir.,2019,4385539,https://www.courtlistener.com/api/rest/v4/clusters/4385539/,3604; claims; csv; iqbal,,
4386176_2017_Barbara Moody v. Harry Gongloff_ca6,"Barbara Moody v. Harry Gongloff, et al.",6th Cir.,2017,4386176,https://www.courtlistener.com/api/rest/v4/clusters/4386176/,3604; claims; csv,,
"4387735_2017_Victoria Laney v. Thomas Ray Slaten, Jr._ca11","Victoria Laney v. Thomas Ray Slaten, Jr.",11th Cir.,2017,4387735,https://www.courtlistener.com/api/rest/v4/clusters/4387735/,3604; claims; csv; phase1_patch,,
"4387755_2017_Roger Nicklaw v. CitiMortgage, Inc._ca11",,,,4387755,https://www.courtlistener.com/api/rest/v4/clusters/4387755/,3604; claims,,
4389389_2019_Marie Curto v. Country Place Condominium Assn_ca3,Marie Curto v. A Country Place Condominium Association,3d Cir.,2019,4389389,https://www.courtlistener.com/api/rest/v4/clusters/4389389/,3604; claims; csv,,
4393705_2019_City of Miami v. Wells Fargo _ Co._ca11,City of Miami v. Wells Fargo & Co.,11th Cir.,2019,4393705,https://www.courtlistener.com/api/rest/v4/clusters/4393705/,3604; claims; csv,,
4402335_2017_Affordable Recovery Housing v. City of Blue Island_ca7,Affordable Recovery Housing v. City of Blue Island,7th Cir.,2017,4402335,https://www.courtlistener.com/api/rest/v4/clusters/4402335/,3604; claims; csv; phase2_extraction,,
"4403305_2019_Paula Casillas v. Madison Avenue Associates, Inc_ca7",,,,4403305,https://www.courtlistener.com/api/rest/v4/clusters/4403305/,3604; claims,,
4404046_2017_Hardie v. National Collegiate Athletic Ass'n_ca9,,,,4404046,https://www.courtlistener.com/api/rest/v4/clusters/4404046/,3604; claims,,
"4405598_2019_Borum v. Brentwood Village, LLC_dcd","Borum v. Brentwood Village, LLC",D.D.C.,2019,4405598,https://www.courtlistener.com/api/rest/v4/clusters/4405598/,3604; claims; csv,,
"4412459_2017_Oregon Bureau of Labor _ Industries Ex Rel. Fair Housing Council of Oregon v. Chandler Apartments, LLC_ca9","Oregon Bureau of Labor and Industries, ex rel Fair Housing Council of Oregon v. Chandler Apartments, LLC",9th Cir.,2017,4412459,https://www.courtlistener.com/api/rest/v4/clusters/4412459/,3604; claims; csv,,
4417289_2017_Civil Rights Education _ Enforcement Center v. Hospitality Properties Trust_ca9,Civil Rights Education and Enforcement Center v. Hospitality Properties Trust,9th Cir.,2017,4417289,https://www.courtlistener.com/api/rest/v4/clusters/4417289/,3604; claims; csv; phase1_patch,,
4424296_2019_Kirschenbaum v. Assa Corp._ca2,Kirschenbaum v. Assa Corp.,2d Cir.,2019,4424296,https://www.courtlistener.com/api/rest/v4/clusters/4424296/,3604; claims; csv; phase1_patch,,
4433210_2019_National Fair Housing Alliance v. Carson_dcd,National Fair Housing Alliance v. Carson,D.D.C.,2019,4433210,https://www.courtlistener.com/api/rest/v4/clusters/4433210/,3604; claims; csv,,
"4439165_2019_Albert Schaw v. Habitat for Humanity of Citrus County, Inc._ca11","Albert Schaw v. Habitat for Humanity of Citrus County, Inc.",11th Cir.,2019,4439165,https://www.courtlistener.com/api/rest/v4/clusters/4439165/,3604; claims; csv,,
4445152_2019_Summers v. City of Fitchburg_ca1,Jeffrey D. Summers and Jeffrey's House Inc. v. City of Fitchburg et al.,1st Cir.,2019,4445152,https://www.courtlistener.com/api/rest/v4/clusters/4445152/,3604; claims; csv,on file with author,2afa5c7eb43f2c5f4d706775e74f473195ef99c703dad7c08b4a8a28ae0b6546
